No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
4,4,1,18.37527778,12.35,2513,-116.848707,32.490483,-116.827965,32.489693,-6.25,DP,2,,,
4,4,1,19.19305556,26.11666667,10160,-116.837672,32.470185,-116.875807,32.53055,-1.5,INCREMENTO,1,,,
6,4,1,21.45833333,34.48333333,8387,-117.004608,32.46793,-116.963962,32.506837,-20,DM,3,,,
1,4,1,21.77416667,32.55,17741,-116.727512,32.494469,-116.868614,32.443851,-14.55,DM,3,,,
6,5,1,11.45555556,6.25,5445,-117.01208,32.524402,-116.964052,32.506758,2.3333333,INCREMENTO,1,,,
4,5,1,12.3375,9.733333333,4935,-116.904887,32.45451,-116.869877,32.452165,1.9,INCREMENTO,1,,,
5,5,1,13.68833333,1.933333333,903,-116.948811,32.498923,-116.954326,32.497496,1.0666667,INCREMENTO,1,,,
6,5,1,14.13305556,4.4,1548,-117.01004,32.525458,-117.010603,32.523503,1.8,INCREMENTO,1,,,
4,5,1,15.67111111,13.91666667,5304,-116.885167,32.448143,-116.872362,32.484312,-6.45,DP,2,,,
3,5,1,19.20805556,2.65,612,-116.968241,32.510586,-116.963932,32.506873,6.3666667,INCREMENTO,1,,,
1,5,1,19.60083333,6.55,1985,-116.880817,32.463147,-116.885045,32.448111,3.75,INCREMENTO,1,,,
5,5,1,19.99333333,6.083333333,1682,-116.969671,32.474939,-116.973069,32.461152,1.9166667,INCREMENTO,1,,,
5,5,1,21.99277778,6.016666667,849,-117.032057,32.533983,-117.035115,32.535299,-2.0166667,DP,2,,,
5,6,1,9.260555556,7.35,2571,-116.988656,32.510685,-116.964003,32.506848,-0.0333333,INCREMENTO,1,,,
1,6,1,10.63694444,2.033333333,686,-116.881317,32.501607,-116.885762,32.503394,-0.0333333,INCREMENTO,1,,,
1,6,1,12.53944444,3.966666667,2429,-117.008591,32.525737,-116.986796,32.51987,0.0333333,INCREMENTO,1,,,
7,6,1,12.79027778,6.95,2917,-116.889754,32.500411,-116.868568,32.494262,-0.1,INCREMENTO,1,,,
1,6,1,12.85611111,13.18333333,9820,-116.986143,32.523276,-116.908896,32.499402,-0.1666667,INCREMENTO,1,,,
4,6,1,13.00222222,4.35,2529,-116.885257,32.448267,-116.892408,32.459228,-1.3,INCREMENTO,1,,,
2,6,1,13.55,20.25,17891,-116.885285,32.448297,-117.023288,32.525278,-1.3833333,INCREMENTO,1,,,
5,6,1,13.60638889,15.71666667,10866,-116.963961,32.507047,-117.031509,32.531578,8.25,INCREMENTO,1,,,
1,6,1,14.22333333,32.16666667,11917,-116.885141,32.513557,-116.963873,32.506716,-16.1666667,DM,3,,,
4,6,1,14.68027778,7.216666667,1638,-116.949388,32.471238,-116.943662,32.484882,-2.2166667,DP,2,,,
7,6,1,14.80055556,10.65,5357,-116.954412,32.502786,-116.907296,32.499279,-2.8,DP,2,,,
1,6,1,15.94611111,4.4,1028,-116.861835,32.492272,-116.868506,32.494281,0.4333333,INCREMENTO,1,,,
4,7,1,6.922222222,24.03333333,19157,-116.862125,32.475778,-117.010092,32.525408,-1.4833333,INCREMENTO,1,,,
5,7,1,9.830833333,0.95,403,-116.971102,32.519006,-116.969578,32.516473,0.3,INCREMENTO,1,,,
4,7,1,9.919444444,11.26666667,4685,-116.880575,32.46095,-116.868585,32.494272,-0.0666667,INCREMENTO,1,,,
6,7,1,13.04138889,8.05,5750,-116.974147,32.49176,-116.967035,32.49977,-3.3,DP,2,,,
2,7,1,13.29722222,1.766666667,515,-116.881228,32.446227,-116.885095,32.44814,0.25,INCREMENTO,1,,,
1,7,1,14.5125,5.3,2431,-116.90354,32.462133,-116.885013,32.44804,-2.7666667,DP,2,,,
6,7,1,14.53944444,4.65,2310,-116.992453,32.51968,-117.009975,32.525515,2.4333333,INCREMENTO,1,,,
5,7,1,15.43055556,6.25,1276,-116.986746,32.510941,-116.986259,32.521895,-2.3166667,DP,2,,,
6,7,1,16.44888889,4.383333333,2830,-116.987408,32.515762,-116.964017,32.506877,-0.1166667,INCREMENTO,1,,,
5,7,1,16.99388889,7.983333333,1933,-117.003644,32.52086,-117.008413,32.522138,2.0333333,INCREMENTO,1,,,
7,7,1,17.09027778,45.85,25356,-116.934928,32.381264,-116.969729,32.508247,-23.45,DM,3,,,
1,7,1,17.66666667,18.31666667,12892,-116.975443,32.506387,-116.885084,32.448023,-6.8,DP,2,,,
4,7,1,17.87527778,25.56666667,12888,-116.941165,32.493943,-116.868855,32.494357,-9.55,DM,3,,,
6,7,1,18.4725,23.53333333,7236,-116.965488,32.505627,-116.970468,32.456737,1.3166667,INCREMENTO,1,,,
1,7,1,19.00638889,0.716666667,256,-116.926933,32.447803,-116.925433,32.449726,1.2833333,INCREMENTO,1,,,
2,7,1,20.40944444,3.35,1260,-116.924648,32.468972,-116.926392,32.476307,-0.7166667,INCREMENTO,1,,,
4,7,1,21.89277778,12.2,13705,-116.9039,32.454158,-117.010088,32.525567,-0.6333333,INCREMENTO,1,,,
1,7,1,22.86138889,30.28333333,16194,-116.931704,32.440833,-117.009746,32.52078,-0.15,INCREMENTO,1,,,
2,1,1,0.596111111,7.95,3901,-116.91689,32.46736,-116.885147,32.44818,-3.3,DP,2,,,
6,1,1,7.034722222,4.116666667,1378,-116.965445,32.505145,-116.969457,32.50248,-1.55,INCREMENTO,1,,,
6,1,1,9.506944444,0.533333333,474,-116.97371,32.516112,-116.977558,32.517245,1.2,INCREMENTO,1,,,
7,1,1,10.61777778,4.316666667,1259,-116.873201,32.434816,-116.876927,32.445326,-1.3166667,INCREMENTO,1,,,
7,1,1,12.11194444,3.216666667,3115,-116.910566,32.462963,-116.885176,32.448197,0.7833333,INCREMENTO,1,,,
2,1,1,18.40888889,5.733333333,1535,-116.970185,32.50822,-116.970028,32.508437,-4.7333333,DP,2,,,
4,1,1,21.46666667,6.416666667,4903,-116.924742,32.467598,-116.88513,32.448082,-0.9666667,INCREMENTO,1,,,
5,1,1,22.38527778,16.58333333,3646,-116.969234,32.496035,-116.964049,32.50682,-10.5833333,DM,3,,,
7,1,1,22.605,7.533333333,5815,-116.887618,32.452375,-116.921073,32.477061,2.4,INCREMENTO,1,,,
6,2,1,3.350277778,1.5,645,-117.006368,32.52268,-117.010055,32.525535,2.15,INCREMENTO,1,,,
7,2,1,7.533611111,2.45,1847,-116.898668,32.455147,-116.885109,32.448124,-0.3666667,INCREMENTO,1,,,
5,2,1,8.000277778,1.6,277,-116.9651,32.505301,-116.964123,32.506767,0.25,INCREMENTO,1,,,
3,2,1,9.351666667,13.13333333,6198,-116.868845,32.494392,-116.898664,32.526751,1.8,INCREMENTO,1,,,
6,2,1,9.611944444,11.96666667,4917,-117.010075,32.525425,-116.965347,32.516903,-0.1333333,INCREMENTO,1,,,
3,2,1,10.13416667,1.1,290,-116.926712,32.479096,-116.926503,32.476598,0.9,INCREMENTO,1,,,
3,2,1,11.06777778,11.2,10334,-116.97482,32.515103,-116.888556,32.514942,-0.2,INCREMENTO,1,,,
2,2,1,11.24277778,0.85,190,-116.87372,32.46735,-116.875492,32.467853,0.7666667,INCREMENTO,1,,,
6,2,1,11.23416667,25.43333333,21858,-117.085918,32.489717,-117.010015,32.525483,-3.75,DP,2,,,
6,2,1,16.23722222,16.65,11987,-117.0086,32.522003,-116.899988,32.530525,-0.8166667,INCREMENTO,1,,,
5,2,1,18.42722222,8.85,5120,-116.986924,32.484095,-116.973123,32.487539,4.15,INCREMENTO,1,,,
4,2,1,18.75472222,14.85,6812,-116.885007,32.448005,-116.934183,32.4653,-5.9833333,DP,2,,,
6,2,1,18.91833333,7.983333333,2255,-116.93499,32.4993,-116.956625,32.506962,-4.9833333,DP,2,,,
2,2,1,19.18916667,4.266666667,1169,-116.873697,32.466773,-116.864477,32.469828,-1.1166667,INCREMENTO,1,,,
5,2,1,20.19416667,0.583333333,171,-116.967249,32.506522,-116.965799,32.505584,0.4166667,INCREMENTO,1,,,
3,2,1,22.04666667,30.26666667,19609,-116.855248,32.47807,-117.010009,32.525313,-11.2666667,DM,3,,,
4,2,1,22.20833333,21,11609,-116.84696,32.49776,-116.869842,32.444638,-3.7,DP,2,,,
3,2,1,23.11583333,7.083333333,2543,-116.868879,32.493746,-116.879612,32.4806,-1.0833333,INCREMENTO,1,,,
1,3,1,0.589444444,6.533333333,1921,-116.962517,32.409801,-116.970885,32.421067,5.4666667,INCREMENTO,1,,,
7,3,1,3.756111111,22.88333333,6250,-116.909876,32.511715,-116.868515,32.494342,-4.25,DP,2,,,
1,3,1,6.927777778,35.06666667,30440,-116.936718,32.372326,-117.010083,32.525605,2.8666667,INCREMENTO,1,,,
2,3,1,8.204722222,3.55,1824,-116.885198,32.448233,-116.894782,32.458437,-0.2,INCREMENTO,1,,,
1,3,1,12.55305556,23.61666667,18897,-116.883573,32.446922,-116.92391,32.544208,-1.6833333,INCREMENTO,1,,,
5,3,1,13.46583333,3.383333333,1590,-116.972025,32.511043,-116.964107,32.506753,1.1666667,INCREMENTO,1,,,
5,3,1,14.66416667,2.3,430,-116.964049,32.458369,-116.965774,32.456015,1.7166667,INCREMENTO,1,,,
6,4,1,11.24444444,3.633333333,1349,-116.956693,32.499003,-116.964033,32.506805,0.5833333,INCREMENTO,1,,,
5,4,1,16.58638889,4.216666667,1324,-116.9665,32.499565,-116.956728,32.499009,-0.2166667,INCREMENTO,1,,,
6,4,1,17.53305556,8.2,2008,-116.95124,32.495305,-116.963972,32.506968,-3.4,DP,2,,,
